Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Till Grallert;The journal _al-Muqtabas_ between _Shamela.ws_, HathiTrust, and GitHub: producing open, collaborative, and fully-referencable digital editions of early Arabic periodicals - with almost no funds;https://dblp.org/rec/conf/dihu/Grallert16;https://scholar.google.com/scholar?cluster=3732174429819029049;1;Short Paper
Martin Grandjean;Archives Distant Reading: Mapping the Activity of the League of Nations' Intellectual Cooperation;https://dblp.org/rec/conf/dihu/Grandjean16;https://scholar.google.com/scholar?cluster=7243875400059103075;2;Short Paper
Harriett Elizabeth Green, Eleanor F. Dickson, Sayan Bhattacharyya;Scholarly Requirements for Large Scale Text Analysis: A User Needs Assessment by the HathiTrust Research Center;https://dblp.org/rec/conf/dihu/GreenDB16;https://scholar.google.com/scholar?cluster=11380612287082823614;1;Short Paper
Adam Hammond, Julian Brooke;Project Dialogism: Toward a Computational History of Vocal Diversity in English-Language Literature;https://dblp.org/rec/conf/dihu/HammondB16;https://scholar.google.com/scholar?cluster=325849291429880885;2;Short Paper
Johannes Hellrich, Udo Hahn;Measuring the Dynamics of Lexico-Semantic Change Since the German Romantic Period;https://dblp.org/rec/conf/dihu/HellrichH16;https://scholar.google.com/scholar?cluster=431654030027025291;6;Short Paper
J. Berenike Herrmann, Gerhard Lauer;KARREK: Building and Annotating a Kafka/Reference Corpus;https://dblp.org/rec/conf/dihu/HerrmannL16;https://scholar.google.com/scholar?cluster=8299999175081470996;1;Short Paper
Charles van den Heuvel, Florentina Armaselu;Invisible Cities In Literature And History: Interfaces To Scalable Readings Of Textual And Visual Representations Of The Imaginary;https://dblp.org/rec/conf/dihu/HeuvelA16;https://scholar.google.com/scholar?cluster=3173780912197857705;1;Short Paper
Armin Hoenen;Silva Portentosissima - Computer-Assisted Reflections on Bifurcativity in Stemmas;https://dblp.org/rec/conf/dihu/Hoenen16;https://scholar.google.com/scholar?cluster=40699471811747287;2;Short Paper
John R. Hott, Worthy N. Martin, Kathleen Flake;Identity Lenses in Analyzing Evolving Social Structures;https://dblp.org/rec/conf/dihu/HottMF16;https://scholar.google.com/scholar?cluster=18141453788979756851;1;Short Paper
Eero Hyvönen, Erkki Heino, Petri Leskinen, Esko Ikkala, Mikko Koho, Minna Tamper, Jouni Tuominen, Eetu Mäkelä;Publishing Second World War History as Linked Data Events on the Semantic Web;https://dblp.org/rec/conf/dihu/HyvonenHLIKTTM16;https://scholar.google.com/scholar?cluster=7269002873890261964;2;Short Paper
Esko Ikkala, Jouni Tuominen, Eero Hyvönen;Contextualizing Historical Places in a Gazetteer by Using Historical Maps and Linked Data;https://dblp.org/rec/conf/dihu/IkkalaTH16;https://scholar.google.com/scholar?cluster=15673204855311481131;11;Short Paper
Fotis Jannidis, Isabella Reger, Markus Krug, Lukas Weimer, Luisa Macharowsky, Frank Puppe;Comparison of Methods for the Identification of Main Characters in German Novels;https://dblp.org/rec/conf/dihu/JannidisRKWMP16;https://scholar.google.com/scholar?cluster=1541757619442963302;8;Short Paper
Eun Seo Jo;Diplomatic History by Data;https://dblp.org/rec/conf/dihu/Jo16;https://scholar.google.com/scholar?cluster=11032952423408056984;3;Short Paper
Max Kemman;Trading Zones of Digital History;https://dblp.org/rec/conf/dihu/Kemman16;https://scholar.google.com/scholar?cluster=13590164869046783817;1;Short Paper
Fahad Khan, Francesca Frontini, Federico Boschetti, Monica Monachini;Converting the Liddell Scott Greek-English Lexicon into Linked Open Data using lemon;https://dblp.org/rec/conf/dihu/KhanFBM16;https://scholar.google.com/scholar?cluster=17882901537315793857;6;Short Paper
Inna Kizhner, Melissa Terras, Maxim Rumyantsev;Museum Digitization Practices Across Russia: Survey and Web Site Exploration Results;https://dblp.org/rec/conf/dihu/KizhnerTR16;https://scholar.google.com/scholar?cluster=3917626721406612296;3;Short Paper
Thomas Köntges;Researchers to your Driving Seats: Building a Graphical User Interface for Multilingual Topic-Modelling in R with Shiny;https://dblp.org/rec/conf/dihu/Kontges16;https://scholar.google.com/scholar?cluster=18196797028702879742;1;Short Paper
Sergey Kornienko, Dinara Gagarina;The First World War in Perm Provincial Periodicals;https://dblp.org/rec/conf/dihu/KornienkoG16;https://scholar.google.com/scholar?cluster=14387343523322762782;3;Short Paper
Anouk Lang, Robyn Pritzker;All in the Family: Testing Burrows' Delta on Robert Louis Stevenson's Collaboratively Authored Volumes The Dynamiter and The Wrecker;https://dblp.org/rec/conf/dihu/LangP16;https://scholar.google.com/scholar?cluster=14936603949656930577;1;Short Paper
Maciej Maryl, Piotr Wcislik;Remediations of Polish Literary Bibliography: Towards a Lossless and Sustainable Retro-Conversion Model for Bibliographical Data;https://dblp.org/rec/conf/dihu/MarylW16;https://scholar.google.com/scholar?cluster=17187902182514404820;3;Short Paper
Nora McGregor, Mia Ridge, Stella Wisdom, Aquiles Alancar-Brayner;The Digital Scholarship Training Programme at British Library: Concluding Report & Future Developments;https://dblp.org/rec/conf/dihu/McGregorRWA16;https://scholar.google.com/scholar?cluster=13075599907709896320;1;Short Paper
Giovanni Moretti, Sara Tonelli, Stefano Menini;Building Large Persons' Networks to Explore Digital Corpora;https://dblp.org/rec/conf/dihu/MorettiTM16;https://scholar.google.com/scholar?cluster=4156553450671274665;1;Short Paper
Federico Nanni, Pablo Ruiz Fabo;Entities as topic labels: improving topic interpretability and evaluability combining Entity Linking and Labeled LDA;https://dblp.org/rec/conf/dihu/NanniF16;https://scholar.google.com/scholar?cluster=6365131429834412760;6;Short Paper
Frederike Neuber;Stefan George Digital: Exploring Typography In A Digital Scholarly Edition;https://dblp.org/rec/conf/dihu/Neuber16;https://scholar.google.com/scholar?cluster=722216524789408646;1;Short Paper
Terhi Nurmikko-Fuller, Jacob Jett, Timothy W. Cole, Chris Maden, Kevin R. Page, J. Stephen Downie;A Comparative Analysis of Bibliographic Ontologies: Implications for Digital Humanities;https://dblp.org/rec/conf/dihu/Nurmikko-Fuller16;https://scholar.google.com/scholar?cluster=8048646481335919612;10;Short Paper
Thomas Padilla, Devin Higgins;Data Praxis in the Digital Humanities: Use, Production, Access;https://dblp.org/rec/conf/dihu/PadillaH16;https://scholar.google.com/scholar?cluster=5148344888068578775;1;Short Paper
Cynthia Pedroja, Anne L'Hôte, Elise Chapoy, Elisabeth Levain;Dépasser La Liste : Quand La Bibliothèque Entre Dans La Danse Des Corpus Web;https://dblp.org/rec/conf/dihu/PedrojaLCL16;https://scholar.google.com/scholar?cluster=4809916376653851626;1;Short Paper
Silvia Piccini, Matteo Abrate, Clara Bacciu, Andrea Bellandi, Emiliano Giovannetti, Lorenzo Mancini, Andrea Marchetti;When Traditional Ontologies are not Enough: Modelling and Visualizing Dynamic Ontologies in Semantic-Based Access to Texts;https://dblp.org/rec/conf/dihu/PicciniABBGMM16;https://scholar.google.com/scholar?cluster=17212052874784255035;2;Short Paper
Jonathan Pearce Reeve;Git-Lit: an Application of Distributed Version Control Technology toward the Creation of 50, 000 Digital Scholarly Editions;https://dblp.org/rec/conf/dihu/Reeve16;https://scholar.google.com/scholar?cluster=4906711242706710845;1;Short Paper
Joseph Rudman;Some Problems in the Non-Traditional Authorship Attribution Studies of the Dramatic Canon of William Shakespeare: Are they Insurmountable;https://dblp.org/rec/conf/dihu/Rudman16;https://scholar.google.com/scholar?cluster=13622730237972774391;1;Short Paper
Pablo Ruiz Fabo, Clément Plancq, Thierry Poibeau;Climate Negotiation Analysis;https://dblp.org/rec/conf/dihu/FaboPP16;https://scholar.google.com/scholar?cluster=3885437276765874535;1;Short Paper
Leif Scheuermann, Klaus P. Jantke, Walter Scheuermann;Erlebter Raum im Rom der späten Republik - eine digitale Forschungsumgebung;https://dblp.org/rec/conf/dihu/ScheuermannJS16;https://scholar.google.com/scholar?cluster=628619476500598604;1;Short Paper
Christoph Schindler, Basil Ell;Linking Qualitative and Quantitative Research by Thin Descriptions through Semantic Graphs. Experiments in Apparatus Design with Semantic CorA;https://dblp.org/rec/conf/dihu/SchindlerE16;https://scholar.google.com/scholar?cluster=3305390922033543272;1;Short Paper
Lambert Schomaker, Andreas Weber, Michiel Thijssen, Maarten Heerlien, Aske Plaat, Siegfried Nijssen, Fons J. Verbeek, Michael Lew, Eulalia Gasso Miracle, Katy Wolstencroft, Ernest Suyver, Bart Verheij, Marco Wiering, René Dekker, Joost N. Kok, Lissa Roberts, H. Jaap van den Herik;Making Sense of Illustrated Handwritten Archives;https://dblp.org/rec/conf/dihu/Schomaker0THPNV16;https://scholar.google.com/scholar?cluster=7756921872442818937;1;Short Paper
David Neel Smith, Sephanie Lindeborg;Comparing Digital Scholarly Editions;https://dblp.org/rec/conf/dihu/SmithL16;https://scholar.google.com/scholar?cluster=5237838702481362384;1;Short Paper
Lisa Spiro;Evaluating GitHub as a Platform of Knowledge for the Humanities;https://dblp.org/rec/conf/dihu/Spiro16;https://scholar.google.com/scholar?cluster=11351686922169629689;1;Short Paper
Mihnea Tufis;Adding Semantics To Comics Using A Crowdsourcing Approach;https://dblp.org/rec/conf/dihu/Tufis16;https://scholar.google.com/scholar?cluster=15674943565589639440;1;Short Paper
Deb Verhoeven, Bronwyn Coate, Colin Arrowsmith, Stuart Palmer;Using Big Cultural Data To Understand Diversity And Reciprocity In The Global Flow Of Contemporary Cinema;https://dblp.org/rec/conf/dihu/VerhoevenCAP16;https://scholar.google.com/scholar?cluster=1151073661120156602,7962895118393876252;3;Short Paper
Andrei Volodin;"""Digital"" in practice: survey of Russian historians' research practices";https://dblp.org/rec/conf/dihu/Volodin16;https://scholar.google.com/scholar?cluster=8162788018324300318;1;Short Paper
Andreas Wagner, Ingo Caesar;The School of Salamanca on the Semantic Web;https://dblp.org/rec/conf/dihu/WagnerC16;https://scholar.google.com/scholar?cluster=17308430921650296671;1;Short Paper
Tanja Wissik, Claudia Resch;Digitale Tools und Methoden für die geisteswissenschaftliche Forschung praxisnah erklärt: Ein neues Format im Test;https://dblp.org/rec/conf/dihu/WissikR16;https://scholar.google.com/scholar?cluster=4824745196321578839;2;Short Paper
Taizo Yamada, Satoshi Inoue;A Management of Personal Name with Alternate Name and its Searching for Japanese Historical Study;https://dblp.org/rec/conf/dihu/YamadaI16;https://scholar.google.com/scholar?cluster=14116595421934082210;1;Short Paper
Sümeyye Akça, Müge Akbulut;Content Based Social Network Analysis of Reşat Nuri Güntekin's Letters;https://dblp.org/rec/conf/dihu/AkcaA16;https://scholar.google.com/scholar?cluster=1569608942422796601;1;Posters
Peter Andorfer, Edeltraud Aspöck, Matej Durco, Anja Masur, Ksenia Zaytseva;The DEFC-App: A Web-based Archaeological Data Management System for 'Digitizing Early Farming Cultures';https://dblp.org/rec/conf/dihu/AndorferADMZ16;https://scholar.google.com/scholar?cluster=15464270868685926444;1;Posters
Adrien Barbaresi, Hanno Biber;Extraction and Visualization of Toponyms in Diachronic Text Corpora;https://dblp.org/rec/conf/dihu/BarbaresiB16;https://scholar.google.com/scholar?cluster=12574679087927519948;3;Posters
Andrea Bolioli, Riccardo Tasso;Collaborative Annotation and Exploration of Literary Works in Learning Contexts;https://dblp.org/rec/conf/dihu/BolioliT16;https://scholar.google.com/scholar?cluster=3575871025372909416;1;Posters
Anastasia Bonch-Osmolovskaya, Elena Sidorova, Daniil Skorinkin;Verbal Identity of a Fictional Character: a Quantitative Study with a Machine Learning Experiment;https://dblp.org/rec/conf/dihu/Bonch-Osmolovskaya16a;https://scholar.google.com/scholar?cluster=3087696011539941852;1;Posters
Vincent Buntinx, Cyril Bornet, Frédéric Kaplan;Studying Linguistic Changes on 200 Years of Newspapers;https://dblp.org/rec/conf/dihu/BuntinxBK16;https://scholar.google.com/scholar?cluster=15343320069761105830;3;Posters
Manuel Burghardt, Michael Kao, Christian Wolff;Beyond Shot Lengths - Using Language Data and Color Information as Additional Parameters for Quantitative Movie Analysis;https://dblp.org/rec/conf/dihu/BurghardtKW16;https://scholar.google.com/scholar?cluster=11783808221396105186;7;Posters
Muhammad Faisal Cheema, Stefan Jänicke, Gerik Scheuermann;Enhancing Close Reading;https://dblp.org/rec/conf/dihu/CheemaJS16;https://scholar.google.com/scholar?cluster=596505793387453885;1;Posters
Angelo Mario Del Grosso, Davide Albanesi, Emiliano Giovannetti, Simone Marchi;Defining the Core Entities of an Environment for Textual Processing in Literary Computing;https://dblp.org/rec/conf/dihu/GrossoAGM16;https://scholar.google.com/scholar?cluster=17440349976870797986;4;Posters
Gimena del Rio Riande, Elena González-Blanco García, Clara Martínez Cantón, Juan José Escribano;EVI-LINHD. A Virtual Research Environment for the Spanish-speaking Community;https://dblp.org/rec/conf/dihu/RiandeGCE16;https://scholar.google.com/scholar?cluster=18313558300122100911;2;Posters
Grégory Dessart, Martial Sankar, Anastasia Chasapi, Guido Bologna, Zhargalma Dandarova Robert, Pierre-Yves Brandt;A Web-based Tool Called Gauntlet: From Iterative Design To Interactive Drawings Annotation;https://dblp.org/rec/conf/dihu/DessartSCBRB16;https://scholar.google.com/scholar?cluster=16372283908068014036;2;Posters
Chiara Di Pietro, Chiara Alzetta, Ilaria Tiezzi, Raffaele Masotti, Roberto Rosselli Del Turco;EVT 2.0: a new architecture for critical editions in digital form;https://dblp.org/rec/conf/dihu/PietroATMT16;https://scholar.google.com/scholar?cluster=18262643460713124391;1;Posters
Natalia Ermolaev, Philip Gleissner;The Digital Émigré: Russian Periodical Studies and DH in the Slavic Fields;https://dblp.org/rec/conf/dihu/ErmolaevG16;https://scholar.google.com/scholar?cluster=8849247436161456158;1;Posters
Winfried Höhn, Christoph Schommer;Annotating and Georeferencing of Digitized Early Maps;https://dblp.org/rec/conf/dihu/HohnS16;https://scholar.google.com/scholar?cluster=11570290582599172829;2;Posters
Ian R. Johnson, Artem Osmakov;Rebuilding Digital Harlem for Sustainability and Change;https://dblp.org/rec/conf/dihu/JohnsonO16;https://scholar.google.com/scholar?cluster=9195450914162646431;1;Posters
Hannah Kermes, Stefania Degaetano-Ortlieb, Ashraf Khamis, Jörg Knappen, Elke Teich;The Royal Society Corpus: Towards a high-quality corpus for studying diachronic variation in scientific writing;https://dblp.org/rec/conf/dihu/KermesDKKT16;https://scholar.google.com/scholar?cluster=15421167094803207529;3;Posters
Richard Khulusi, Stefan Jänicke;On the Distant Reading of Musicians' Biographies;https://dblp.org/rec/conf/dihu/KhulusiJ16;https://scholar.google.com/scholar?cluster=5601149146797062119;3;Posters
Taisuke Kimura, Yuting Song, Biligsaikhan Batjargal, Fuminori Kimura, Akira Maeda;Identifying the Same Ukiyo-e Prints from Databases in Dutch and Japanese;https://dblp.org/rec/conf/dihu/KimuraSBKM16;https://scholar.google.com/scholar?cluster=10938435886255957858;3;Posters
Roman Klinger, Surayya Samat Suliya, Nils Reiter;Automatic Emotion Detection for Quantitative Literary Studies;https://dblp.org/rec/conf/dihu/KlingerSR16;https://scholar.google.com/scholar?cluster=3544129917977527749;8;Posters
Elizaveta Kuzmenko, Boris Orekhov;Geography Of Russian Poetry: Countries And Cities Inside The Poetic World;https://dblp.org/rec/conf/dihu/KuzmenkoO16;https://scholar.google.com/scholar?cluster=12896841798939985652;2;Posters
Corina-Elena Moldovan;Challenges in Setting up a Digital Humanities Centre in Romania;https://dblp.org/rec/conf/dihu/Moldovan16;https://scholar.google.com/scholar?cluster=15207012239308501742;1;Posters
Maciej Piasecki, Tomasz Walkowiak, Maciej Eder;WebSty - an Open Web-based System for Exploring Stylometric Structures in Document Collections;https://dblp.org/rec/conf/dihu/PiaseckiWE16;https://scholar.google.com/scholar?cluster=16668221907024871404;3;Posters
Elena Pierazzo, Filippo Fonio, Claire Mouraby;"A new approach to libraries in the Digital Humanities: the case of ""Fonte-Gaia""";https://dblp.org/rec/conf/dihu/PierazzoFM16;https://scholar.google.com/scholar?cluster=4602451552646178437;2;Posters
Martin Reckziegel, Stefan Jänicke, Gerik Scheuermann;CTRaCE: Canonical Text Reader and Citation Exporter;https://dblp.org/rec/conf/dihu/ReckziegelJS16;https://scholar.google.com/scholar?cluster=1700136619339017477;4;Posters
Peter Robinson, Barbara Bordalejo;Textual Communities;https://dblp.org/rec/conf/dihu/0003B16;https://scholar.google.com/scholar?cluster=5322581207885764479;5;Posters
Anahit Safaryan, Sascha Kaufmann, Tara L. Andrews;Critical Edition as Graph: The Chronicle of Matthew of Edessa Online;https://dblp.org/rec/conf/dihu/SafaryanKA16;https://scholar.google.com/scholar?cluster=7799714892352584618;2;Posters
Charlotte Schubert, Friedrich Meins, Oliver Bräckel, Hannes Kahl;eComparatio - Editionsvergleich;https://dblp.org/rec/conf/dihu/SchubertMBK16;https://scholar.google.com/scholar?cluster=11718993061655228502;2;Posters
Jan Skvrnák, Adam Mertel;Linking Graph With Map For The Purpose Of Historical Research;https://dblp.org/rec/conf/dihu/SkvrnakM16;https://scholar.google.com/scholar?cluster=15796929175153959546;1;Posters
Han Sloetjes, Olaf Seibert;New Facets Of The Multimedia Annotation Tool ELAN;https://dblp.org/rec/conf/dihu/SloetjesS16;https://scholar.google.com/scholar?cluster=2131804764143219035;1;Posters
Olga Sozinova;Complex Networks-Based Approach to Russian Rhyme History Description: Linguostatistics and Database;https://dblp.org/rec/conf/dihu/Sozinova16;https://scholar.google.com/scholar?cites=9938863572528848450;1;Posters
Peter A. Stokes, Stewart Brookes, Geoffroy Noël, John Reuben Davies, Tessa Webber, Dauvit Broun, Alice Taylor, Joanna Tucker;The Models of Authority Project: Extending the DigiPal Framework for Script and Decoration;https://dblp.org/rec/conf/dihu/StokesBNDWBTT16;https://scholar.google.com/scholar?cluster=12501376972222354118;1;Posters
Nataliya Tyshkevich;Automatic quotation detection in Russian nonfiction texts;https://dblp.org/rec/conf/dihu/Tyshkevich16;https://scholar.google.com/scholar?cites=1311438850506895062;1;Posters
Wouter van Elburg, Tessa Wijckmans;Project COLEM for CREATE (University of Amsterdam);https://dblp.org/rec/conf/dihu/ElburgW16;https://scholar.google.com/scholar?cluster=6597900105367457967;2;Posters
Bin Yang, Chiara Mainardi, Jean-Gabriel Ganascia;Browsing, Sharing, Learning and Reviewing the Haine du théâtre Corpus through Insightful Island;https://dblp.org/rec/conf/dihu/0005MG16;https://scholar.google.com/scholar?cluster=11993995796636658547;1;Posters
Maayan Zhitomirsky-Geffet, Gila Prebor, Amichai Feigenboim;Towards a Cross-generation Social Network for Jewish Sages;https://dblp.org/rec/conf/dihu/Zhitomirsky-Geffet16;https://scholar.google.com/scholar?cluster=2027266611303270367;2;Posters
Pierre Nugues, Lars Borin, Nathalie Fargier, Richard Johansson, Nils Reiter, Sara Tonelli;From Digitization to Knowledge: Resources and Methods for Semantic Processing of Digital Works/Texts;https://dblp.org/rec/conf/dihu/NuguesBFJRT16;https://scholar.google.com/scholar?cluster=9846823572049277337;2;Pre-Conference Workshops and Tutorials
Jentery Sayers, Alex Gil, Kim Martin, Brian Rosenblum, Tiffany Chan;Minimal Computing: A Workshop;https://dblp.org/rec/conf/dihu/SayersGMRC16;https://scholar.google.com/scholar?cluster=5429113520756787352;1;Pre-Conference Workshops and Tutorials
Martin Scholz, Dorian Merz, Guenther Goerz;Working with WissKI - A Virtual Research Environment for Object Documentation and Object-Based Research;https://dblp.org/rec/conf/dihu/ScholzMG16;https://scholar.google.com/scholar?cluster=11204223872748048192;1;Pre-Conference Workshops and Tutorials
